Rank,cca3,Country,Capital,Continent,2023,2022,2020,2010,2015,2000,1990,1980,1970,Area,netChange,GrowthRate,Density,WorldPercentage
36,AFG,Afghanistan,Kabul,Asia,42239854,41128771,38972230,28189672,33753499,19542982,10694796,12486631,10752971,652230,0.0357,0.027,64.7622,0.0053
138,ALB,Albania,Tirana,Europe,2832439,2842321,2866849,2913399,2882481,3182021,3295066,2941651,2324731,28748,-0.0003,-0.0035,103.3737,0.0004
34,DZA,Algeria,Algiers,Africa,45606480,44903225,43451666,35856344,39543154,30774621,25518074,18739378,13795915,2381741,0.0218,0.0157,19.1484,0.0057
214,ASM,American Samoa,Pago Pago,Oceania,43914,44273,46189,54849,51368,58230,47818,32886,27075,199,0,-0.0081,219.57,0
203,AND,Andorra,Andorra la Vella,Europe,80088,79824,77700,71519,71746,66097,53569,35611,19860,468,0,0.0033,170.4,0
42,AGO,Angola,Luanda,Africa,36684202,35588987,33428485,23364185,28127721,16394062,11828638,8330047,6029700,1246700,0.0352,0.0308,29.425,0.0046
224,AIA,Anguilla,The Valley,North America,15899,15857,15585,13172,14525,11047,8316,6560,6283,91,0,0.0026,174.7143,0
201,ATG,Antigua and Barbuda,Saint John’s,North America,94298,93763,92664,85695,89941,75055,63328,64889,64516,442,0,0.0057,214.3136,0
33,ARG,Argentina,Buenos Aires,South America,45773884,45510318,45036032,41100123,43257065,37070774,32637657,28024803,23842803,2780400,0.0091,0.0058,16.726,0.0057
140,ARM,Armenia,Yerevan,Asia,2777970,2780469,2805608,2946293,2878595,3168523,3556539,3135123,2534377,29743,0,-0.0009,97.5753,0.0003
198,ABW,Aruba,Oranjestad,North America,106277,106445,106585,100341,104257,89101,65712,62267,59106,180,0,-0.0016,590.4278,0
55,AUS,Australia,Canberra,Oceania,26439111,26177413,25670051,22019168,23820236,19017963,17048003,14706322,12595034,7692024,0.0083,0.01,3.4372,0.0033
